,AAPL,MSFT,NVDA,GOOG,AMZN,META,TSLA,BRK-A,LLY,AVGO,JPM,V,ORCL,WMT,XOM,MA,NFLX,JNJ,COST,ABBV,PLTR,BAC,PG,HD,AMD,KO,GE,CRM,CSCO,CVX,UNH,IBM,WFC,CAT,MS,AXP,MRK,PM,TMUS,MU,GS,RTX,ABT,TMO,MCD,PEP,ISRG,LIN,SHOP
2025-10-22,3815.250015590332,3861.622367191451,4389.277130279541,1365.429703399658,2329.9325469735,1597.2857102890528,1459.934843797828,385.32866352,726.0737512532397,1607.0207593405426,800.6445237055609,581.6875815494287,777.2971221192144,854.2112643448379,479.53774821472166,509.2292623833402,473.0420701042168,464.84940286194814,418.07103614652686,404.1655047010484,400.8777883141015,373.157511462276,353.18107397021924,387.1755452986616,374.8239967984561,304.5969118124753,314.21853139916567,244.3212939453125,279.1843562909204,307.6039799655933,327.4515938977197,267.2720825528079,261.92926928240064,240.7559907377089,249.78094983344616,242.475781856,217.4499958938664,244.1743551182369,254.34839992557733,222.7758353366478,223.3267619681266,238.63058450876423,222.488660312034,213.10161565108,220.8461750465515,209.24405720054364,186.8300757388172,210.0896688556662,198.0735670371726
2025-10-23,3831.930681905732,3861.770706271845,4435.049609161377,1371.9180868988035,2363.499818723249,1598.570723446,1493.2263261382006,384.726156,733.7685417251797,1625.8630937766202,801.8151596308186,582.698212621716,798.4215057621788,851.9788757631621,484.8469303665161,511.3772250672964,471.8640947329481,463.7170312229741,416.9071227698115,403.405542254,412.27659272603216,377.9771574110037,353.20428584675125,383.2537194793384,382.57349042769926,300.8545331212747,323.18444964266564,242.80760290527343,277.643401678448,309.5614769778905,326.5095416366003,264.9387532179329,263.74043618676427,243.8432794215,251.6607853521149,244.49411215398985,216.3827254459332,245.4819259668156,246.0602787978804,232.02496163093787,225.1803362755481,240.588120545849,219.6890754160408,214.871185932874,218.61002168882905,207.1656943731964,195.4336807175553,210.1643681443338,204.21102883892723
2025-10-24,3879.7603765361937,3884.397179213501,4534.872086257935,1408.5776228027344,2396.853403599001,1608.066288756165,1442.474293171078,386.242885,737.709814508385,1672.3311482992829,817.8764905559483,585.0899313378119,807.7150304949641,846.4775890240136,482.38043965148927,511.2880666101469,463.8555562066051,458.7297727156297,412.5214233752842,402.9460319582137,421.7565997895347,383.8921888349552,356.32851172307073,384.8961013715305,411.7642633157669,299.8651486467095,320.52629798511146,242.59816174316407,279.0657981326847,307.58421096640416,328.36649975,285.8177961338388,269.8296451798495,244.88797826981104,258.84837462871747,246.30579536491328,217.15214637246785,245.35739201660485,243.57719272279587,245.84251578139228,235.1079626671747,239.5288992548775,220.575903823642,215.0928637775,217.76968477180327,207.2203996618909,193.7356523171057,208.25922278,211.4488239993181
2025-10-27,3968.18445745102,3943.077760508678,4662.207163742066,1459.511470397949,2426.35834106625,1635.2028369019174,1504.6671521923563,383.1832765,738.5677411184121,1709.7321985690426,827.9760604088796,585.8309989879746,802.2130216471428,832.9237664478242,484.67969429779055,510.1205205663402,463.8004689341796,458.4888652631852,411.50795937460106,403.01671547750806,432.150291659198,387.1783174038172,354.57596156132075,383.4926025540457,422.7535685527093,301.3707051787253,329.98798005439613,243.20744116210932,282.06863844101326,307.0305569582506,331.5188280994403,291.05149174282417,271.7032479469526,246.9211893768521,262.26052975988694,249.13698659022705,218.417983168,238.49263318535583,246.8320340334928,247.05478115448892,236.94052147590065,240.31997024916024,221.1497347501216,211.81670051009203,220.7678485,208.69712949732545,195.41596024125,207.7082264626361,214.02851266985448
2025-10-28,3970.9892949650575,4021.3427295065926,4894.477380279541,1451.400970397949,2450.73202052175,1636.5531176144725,1531.7059767634714,377.87210995,732.9284783435179,1761.3004880199458,831.2699745243109,584.2814470809313,800.5880489824641,822.5590356580135,480.87547589874265,504.3897369774201,467.164898235,450.36951577065565,408.9898393165342,402.1506872992943,433.1097426176684,386.08293192859327,353.7113459022982,383.97039908025,420.0510136342432,301.8008923181621,326.77081050199246,242.0555147705078,286.9284980170653,304.7567254512132,333.2036746635199,290.5681211353513,271.3597429299703,245.70312702084155,260.98097764843226,248.69611144170665,216.0104182782673,233.20004718730243,246.0602787978804,249.0864419374434,237.57038233271075,239.55572042211324,220.1585782709932,209.506086774682,218.2040884933548,205.2650924381745,193.3386184462836,206.727630859606,218.79666741990016
2025-10-29,3981.3230017933047,4017.485006143671,5040.802716537475,1487.8442626037595,2461.95677995725,1637.0539896094426,1534.8988362408727,372.853829,727.0568843446539,1822.738503073012,831.6783803300427,574.8157228778113,784.8231693567857,816.8983186607568,486.8116807022095,494.2739783596031,466.27929920869417,449.5744807383703,403.79427758500486,397.908974969754,454.1484393487327,383.9652293902687,347.6358600683328,376.2959765373811,430.3401984072906,294.0149579920158,331.5069146614653,239.3899263916016,281.8315824134602,306.6746844651322,321.8082369872803,286.51499654795765,268.54933877931563,274.28972005228053,259.1169294887946,246.76043997854336,214.893515711599,228.46787584140827,240.4901035121196,254.3844829928412,234.86201909141263,236.45854050946224,216.3678368958716,209.761565503034,215.3198720691452,199.8504372388691,190.57355340422825,201.72661180934816,218.8577825411726
2025-10-30,4006.4181806508177,3900.347032628406,4939.76281513977,1524.2332669982911,2382.42154673625,1451.4977973050802,1463.6930356958892,375.48038522,754.7349460860893,1777.828765596946,842.3768512109482,581.1318194385867,732.3401540581073,815.0645969663917,479.4541623535157,493.4718242356701,461.4445181916423,455.4772463856852,407.2284834068408,403.31716762877016,444.4171890058342,387.2513301023209,349.52860853810694,377.79898971813407,414.8901000915338,296.72499256831526,327.78342284325,244.33079418945312,288.07431905767044,303.5505724389605,312.287864245,288.2347918004764,268.5181088732886,273.1934953849237,261.0599386945232,247.21508459217347,214.14890137626733,226.895655503368,235.6134139400773,251.4436103344599,236.99150419703923,237.87975549461325,216.7851624485204,208.976325569908,215.37683485452573,201.7510391738909,187.89001553521143,200.74601620631805,212.2557450785364
2025-10-31,3991.213436069092,3841.36977317244,4930.024163742066,1523.8007796020509,2610.764567256,1412.0344543850254,1518.4359907658445,374.3391774,771.143386578114,1745.527806140283,846.9502319281037,573.906190964414,748.6466042393927,806.6930789570811,478.0746095657349,491.9655957304768,474.097165943508,455.04355415060377,403.9356653751021,385.3605332952943,457.9404421741337,390.318392718862,351.37461235329823,377.8388136895152,416.9739912753784,296.3808559842342,325.8847706795964,247.9103234863281,288.8645259124868,311.85510799183174,309.39823683567994,285.77132751657274,271.57832832284475,270.4341476659695,260.646727004,248.4894643546403,213.40430597726484,224.6696734934607,234.9423202047113,251.17422944764223,236.75456726357527,239.327791647,214.95935486409445,213.173001099546,212.52821745452576,199.75471341563093,189.4001722680672,195.32473171893983,212.5613953065364
2025-11-03,3971.7274813011472,3835.583641764388,5036.907478881836,1536.2368135986328,2715.314866794,1388.8618135880022,1557.7139070084386,372.4720317,801.2345137219517,1712.0933810800425,842.1318575736204,567.4385229188636,735.0768905991072,809.9619162865271,475.5663580932617,484.9068461525799,466.14371468959047,448.7552924638667,411.28799275721633,374.61485846470566,473.268303875198,391.1216716864515,345.88330990658284,376.604543967808,422.720975924223,292.38035844563734,325.53666406236147,248.79567651367188,294.1589781575663,304.57874344308186,302.35988071012025,283.27996494679667,272.60881942447725,267.3094012557911,260.0904590447758,249.1025313943265,204.74203369246783,225.0899726063689,227.4147753905072,263.4427749890055,235.5998498186988,237.3702556099153,215.34189554854075,212.229970202432,211.06118123218383,196.3500498647818,192.9203156765504,192.4670065473639,211.43660470614552
2025-11-04,3986.3419473771055,3815.5537831841343,4837.505489440918,1503.4704067993164,2665.2847341600004,1366.2335121804174,1477.5284556101228,382.38202518,810.4664158750722,1661.9891573718917,841.85961472875,573.1650718118781,707.4811955628928,815.3834574826083,477.1549077072144,492.64296065325,463.12248168223806,450.2008842302371,416.9163737023184,381.560667123754,435.7138819971015,390.9756184326344,343.89707212764307,381.3127033669725,407.0917920453885,295.3484790506621,320.8744046023464,242.2268823242188,285.74315759038166,303.2935144340728,299.67857849123965,279.67307030408864,272.0779349713331,256.5296966625716,260.6626113667732,248.32412566290307,208.14241138386635,229.8532833779213,230.73672436803503,244.73126824085224,237.1924694798614,235.45296155296225,218.75009623921608,212.365219600136,213.0836969781967,195.3928950882182,191.0095766502668,195.15663694421204,196.76539376214552
